record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_10860,FRAD085-014 Journal de guerre d'Alfred Bonnaud | Alfred Bonnaud's diary,True,,2,1,1,1,True,True,222
/2020601/https___1914_1918_europeana_eu_contributions_10866,FRAM - Henri Bionnet | Documents from Henri Bionnet,True,,2,0,2,0,False,True,82
/2020601/https___1914_1918_europeana_eu_contributions_10867,"FRAD058_042 M. Abel BLOND, M. Marius ARBLAY. | Documents from Mr Labbe",True,,2,0,2,0,False,True,83
/2020601/https___1914_1918_europeana_eu_contributions_10876,FRAM - Louis PRUNET (1881-1951) | Louis PRUNET,True,,2,1,1,0,True,True,55
/2020601/https___1914_1918_europeana_eu_contributions_10883,FRBMAN-012 Antoine Laurenty | Antoine Laurenty's story,True,,2,0,2,0,False,True,188
/2020601/https___1914_1918_europeana_eu_contributions_1089,Kriegserinnerungen | Wartime memories,True,,1,0,1,0,False,True,40
/2020601/https___1914_1918_europeana_eu_contributions_10891,"FRBMAN-013-Les deux frères François et Jean-Baptiste Moreau | Two brothers, François and Jean-Baptiste Moreau",True,,2,0,2,0,False,True,190
/2020601/https___1914_1918_europeana_eu_contributions_10903,"FRBMAN-014 Justin Usse, élève pilote au centre d'aviation militaire de Chartres | Justin Usse, fighter pilot",True,,2,1,1,0,True,True,237
/2020601/https___1914_1918_europeana_eu_contributions_10904,Souvenirs et notes du cuirassier Jacques PAVARD | Memories and notes from cuirassier Jacques PAVARD,True,,2,0,2,0,False,True,255
/2020601/https___1914_1918_europeana_eu_contributions_10912,"FRAD067-198 Un jeune engagé volontaire lyonnais dans la guerre, Anthelme Perrin (1895-1979) | Documents from Anthelme Perrin",True,,2,1,1,0,True,True,392
/2020601/https___1914_1918_europeana_eu_contributions_10914,"Juste à temps! | A mother journeys to see her injured son, and attends his funeral",True,,2,1,1,0,True,True,316
/2020601/https___1914_1918_europeana_eu_contributions_10920,FRBNBU-051 Pascal Thuillier très gravement blessé en septembre 1914 | Pascal Thuillier seriously injured in 1914,True,,2,1,1,0,True,True,269
/2020601/https___1914_1918_europeana_eu_contributions_10922,AMSM-027_1 : Documents de mémoire | Nazaire François Prat's Medical Records from WWI,True,,2,2,0,2,True,False,136
