record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_10759,FRAM - Charles PINAUD | Charles PINAUD,True,Meets minimum narrative length,52,0
/2020601/https___1914_1918_europeana_eu_contributions_10761,FRAD062_075 - Charles Louis (1896-1955). | Document from Louis Charles (1896-1955),True,Meets minimum narrative length,82,13
/2020601/https___1914_1918_europeana_eu_contributions_10769,FRAM - Robert Édouard DEPLANCK | Robert Édouard DEPLANCK,True,Meets minimum narrative length,43,4
/2020601/https___1914_1918_europeana_eu_contributions_10774,FRAD066_101B Pierre CODERC | Documents of Pierre CODERC,True,Meets minimum narrative length,47,37
/2020601/https___1914_1918_europeana_eu_contributions_10775,AMSM-019_2 : Marius et Léon JAYNE | Marius and Léon Jayne at the Front,True,Meets minimum narrative length,229,15
/2020601/https___1914_1918_europeana_eu_contributions_10782,"FRAM - Amédée Desforges, soldat téléphoniste au 165e régiment d'infanterie | Documents about Amédée Desforges",True,Meets minimum narrative length,80,32
/2020601/https___1914_1918_europeana_eu_contributions_10784,"FRAD062_107 - M. Lemaître et le ""devoir de Français"", décembre 1914. | FRAD062_107 - Document from Mr Lemaître.",False,Main story has fewer than 40 words,35,7
/2020601/https___1914_1918_europeana_eu_contributions_10794,Ledermappe mit Fotos und Dokumenten von Wilhelm Große Munkenbeck | Leathercase with photos and documents of Wilhelm Große Munkenbeck,True,Meets minimum narrative length,266,67
/2020601/https___1914_1918_europeana_eu_contributions_10795,"FRAD062_107 - Carnel Ulysse, 1911-1916. | FRAD062_107 - Ulysse Carnel, 1911-1919.",True,Meets minimum narrative length,111,92
/2020601/https___1914_1918_europeana_eu_contributions_10798,FRAD066_102 Charles MIRC | Documents of Charles MIRC,True,Meets minimum narrative length,59,42
/2020601/https___1914_1918_europeana_eu_contributions_10802,"FRAD071-007, Charles QUELIN | Documents from Charles Quelin",True,Meets minimum narrative length,93,11
/2020601/https___1914_1918_europeana_eu_contributions_10813,"FRAD043_065 Louis Jonget, Paul et Simon Borel, soldats de la Grande guerre. | Documents about Louis Jonget, Paul et Simon Borel",True,Meets minimum narrative length,817,197
/2020601/https___1914_1918_europeana_eu_contributions_10817,FRAM - Histoire de Georges Chasserot (1891-1978) | Documents from Georges Chasserot,True,Meets minimum narrative length,209,51
/2020601/https___1914_1918_europeana_eu_contributions_10818,Fliegerhelm von Wilhelm Große Munkenbeck | Pilots helmet of Wilhelm Große Munkenbeck,True,Meets minimum narrative length,266,7
/2020601/https___1914_1918_europeana_eu_contributions_10822,FRAM - Ernest LORRAIN | Ernest LORRAIN,True,Meets minimum narrative length,285,39
/2020601/https___1914_1918_europeana_eu_contributions_10833,FRAD034-037_Joseph VIDAL et Aimé HYACINTHE | Documents from Joseph Vidal and Aimé Hyacinthe,True,Meets minimum narrative length,206,137
/2020601/https___1914_1918_europeana_eu_contributions_10835,AMSM-016_1 Lettres à Amélie | Letters From Louis Anselmet to his Sister,True,Meets minimum narrative length,104,8
/2020601/https___1914_1918_europeana_eu_contributions_10840,"AMSM 016-2 Recueil de lettres | Letters of André Larfeuil, POW in Germany",True,Meets minimum narrative length,934,13
/2020601/https___1914_1918_europeana_eu_contributions_10860,FRAD085-014 Journal de guerre d'Alfred Bonnaud | Alfred Bonnaud's diary,True,Meets minimum narrative length,176,46
/2020601/https___1914_1918_europeana_eu_contributions_10866,FRAM - Henri Bionnet | Documents from Henri Bionnet,True,Meets minimum narrative length,75,7
/2020601/https___1914_1918_europeana_eu_contributions_10867,"FRAD058_042 M. Abel BLOND, M. Marius ARBLAY. | Documents from Mr Labbe",True,Meets minimum narrative length,70,13
/2020601/https___1914_1918_europeana_eu_contributions_10876,FRAM - Louis PRUNET (1881-1951) | Louis PRUNET,True,Meets minimum narrative length,50,5
/2020601/https___1914_1918_europeana_eu_contributions_10883,FRBMAN-012 Antoine Laurenty | Antoine Laurenty's story,True,Meets minimum narrative length,133,55
/2020601/https___1914_1918_europeana_eu_contributions_1089,Kriegserinnerungen | Wartime memories,True,Meets minimum narrative length,40,0
/2020601/https___1914_1918_europeana_eu_contributions_10891,"FRBMAN-013-Les deux frères François et Jean-Baptiste Moreau | Two brothers, François and Jean-Baptiste Moreau",True,Meets minimum narrative length,164,26
/2020601/https___1914_1918_europeana_eu_contributions_10903,"FRBMAN-014 Justin Usse, élève pilote au centre d'aviation militaire de Chartres | Justin Usse, fighter pilot",True,Meets minimum narrative length,192,45
